Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
121,20,121-20,Leaf,,,,,0.0203245115,8.08759403,
122,0,122-0,f0,-0.84162122,122-1,122-2,122-2,19.3978443,2024.396,
122,1,122-1,f0,-1.34075499,122-3,122-4,122-4,4.77997208,165.365829,
122,2,122-2,f0,1.55477357,122-5,122-6,122-6,8.18160248,1859.03027,
122,3,122-3,f3,0.0199999996,122-7,122-8,122-8,1.39343071,43.7984695,
122,4,122-4,f1,2.36666656,122-9,122-10,122-10,1.42896461,121.56736,
122,5,122-5,f0,0.227544904,122-11,122-12,122-12,4.04549313,1814.46313,
122,6,122-6,f0,1.88079405,122-13,122-14,122-14,1.15086269,44.5670624,
122,7,122-7,f0,-1.75068605,122-15,122-16,122-16,0.522947311,38.6138649,
122,8,122-8,Leaf,,,,,-0.00290825823,5.18460751,
122,9,122-9,f0,-1.08031929,122-17,122-18,122-18,1.04387987,11.1602697,
122,10,122-10,f1,3.48333335,122-19,122-20,122-20,2.49002361,110.407089,
122,11,122-11,f1,3.0666666,122-21,122-22,122-22,3.21371961,1152.91858,
122,12,122-12,f1,3.20000005,122-23,122-24,122-24,2.19599962,661.544617,
122,13,122-13,f3,0.00999999978,122-25,122-26,122-26,1.42012691,25.6008949,
122,14,122-14,f3,0.00999999978,122-27,122-28,122-28,0.089302063,18.9661655,
122,15,122-15,Leaf,,,,,-0.0253285654,14.9044876,
122,16,122-16,Leaf,,,,,-0.0158806816,23.7093754,
122,17,122-17,Leaf,,,,,-0.00532068498,5.60539055,
122,18,122-18,Leaf,,,,,0.0116737112,5.55487919,
122,19,122-19,Leaf,,,,,-0.0218308289,9.22950363,
122,20,122-20,Leaf,,,,,-0.00610901788,101.177589,
122,21,122-21,Leaf,,,,,-0.00662955362,69.656601,
122,22,122-22,Leaf,,,,,-2.6097543e-05,1083.26196,
122,23,122-23,Leaf,,,,,0.00736173335,73.662941,
122,24,122-24,Leaf,,,,,0.00189161988,587.881653,
122,25,122-25,Leaf,,,,,0.00196145033,13.7822504,
122,26,122-26,Leaf,,,,,0.0159985498,11.8186455,
122,27,122-27,Leaf,,,,,0.0210886784,13.9072285,
122,28,122-28,Leaf,,,,,0.0111158863,5.05893755,
123,0,123-0,f0,0.358458757,123-1,123-2,123-2,18.4168682,2014.52234,
123,1,123-1,f0,-0.95416522,123-3,123-4,123-4,13.3912888,1470.19897,
123,2,123-2,f0,1.4757911,123-5,123-6,123-6,6.40922928,544.323364,
123,3,123-3,f0,-1.75068605,123-7,123-8,123-8,3.27762604,118.584496,
123,4,123-4,f1,0.966666639,123-9,123-10,123-10,2.01225781,1351.6145,
123,5,123-5,f2,-0.0199999996,123-11,123-12,123-12,2.22798729,489.184967,
123,6,123-6,f1,3.01666665,123-13,123-14,123-14,2.58707905,55.138401,
123,7,123-7,Leaf,,,,,-0.0236994755,15.4536657,
123,8,123-8,f1,7.7833333,123-15,123-16,123-16,1.98886681,103.130829,
123,9,123-9,Leaf,,,,,-0.0151551403,7.51892471,
123,10,123-10,f1,11.1000004,123-17,123-18,123-18,1.61385703,1344.09558,
123,11,123-11,f0,0.80642134,123-19,123-20,123-20,3.67248988,23.2969723,
123,12,123-12,f0,0.412463188,123-21,123-22,123-22,2.29883289,465.888,
123,13,123-13,Leaf,,,,,0.0225097612,21.8328075,
123,14,123-14,f1,8.10000038,123-23,123-24,123-24,1.18830657,33.3055916,
123,15,123-15,Leaf,,,,,-0.0119177345,68.6914749,
123,16,123-16,Leaf,,,,,-0.00299560535,34.4393578,
123,17,123-17,Leaf,,,,,-0.00152817369,696.679321,
123,18,123-18,Leaf,,,,,0.000550940516,647.416321,
123,19,123-19,Leaf,,,,,-0.0123973303,16.6233864,
123,20,123-20,Leaf,,,,,0.0125589557,6.67358589,
123,21,123-21,Leaf,,,,,0.01008627,54.3168335,
123,22,123-22,Leaf,,,,,0.00354413199,411.571167,
123,23,123-23,Leaf,,,,,0.0114110028,27.6006184,
123,24,123-24,Leaf,,,,,-0.00311763166,5.70497513,
124,0,124-0,f0,0.91536504,124-1,124-2,124-2,16.4237595,2006.58594,
124,1,124-1,f0,-1.34075499,124-3,124-4,124-4,12.4679384,1826.91699,
124,2,124-2,f1,3.20000005,124-5,124-6,124-6,3.36006355,179.668961,
124,3,124-3,f4,0.0,124-7,124-8,124-8,0.997488022,43.3378067,
124,4,124-4,f0,0.279319078,124-9,124-10,124-10,4.41826153,1783.5791,
124,5,124-5,f1,2.4666667,124-11,124-12,124-12,0.672613144,45.4979248,
124,6,124-6,f1,9.66666698,124-13,124-14,124-14,1.55836678,134.171036,
124,7,124-7,f1,3.9333334,124-15,124-16,124-16,1.25685358,10.0994053,
124,8,124-8,f0,-1.88079357,124-17,124-18,124-18,1.12081814,33.2383995,
124,9,124-9,f1,0.966666639,124-19,124-20,124-20,2.69337821,1327.72913,
124,10,124-10,f3,0.0500000007,124-21,124-22,124-22,2.23166871,455.850037,
124,11,124-11,f1,2.04999995,124-23,124-24,124-24,2.93181515,31.28792,
124,12,124-12,f1,2.75,124-25,124-26,124-26,0.188628674,14.2100067,
124,13,124-13,f1,9.19999981,124-27,124-28,124-28,4.19261742,104.927116,
124,14,124-14,f1,11.9666662,124-29,124-30,124-30,2.74984741,29.2439156,
124,15,124-15,Leaf,,,,,0.00313734659,5.05913734,
124,16,124-16,Leaf,,,,,-0.0166175533,5.04026747,
124,17,124-17,Leaf,,,,,-0.0280778725,9.59775639,
124,18,124-18,Leaf,,,,,-0.0145088984,23.6406441,
124,19,124-19,Leaf,,,,,-0.0173316598,8.46343327,
124,20,124-20,Leaf,,,,,-0.00126348331,1319.26562,
124,21,124-21,Leaf,,,,,0.00168875093,444.570129,
124,22,124-22,Leaf,,,,,0.0146662463,11.2799263,
124,23,124-23,Leaf,,,,,0.0171629749,24.222084,
124,24,124-24,Leaf,,,,,-0.0041911765,7.06583452,
124,25,124-25,Leaf,,,,,0.0279397909,5.05768251,
124,26,124-26,Leaf,,,,,0.0153740905,9.15232372,
124,27,124-27,Leaf,,,,,0.00575955305,99.8261719,
124,28,124-28,Leaf,,,,,-0.0199143253,5.10094309,
124,29,124-29,Leaf,,,,,0.0174589045,21.5357151,
124,30,124-30,Leaf,,,,,-0.00295674172,7.7081995,
125,0,125-0,f0,-0.95416522,125-1,125-2,125-2,18.8695412,1992.99939,
125,1,125-1,f0,-1.75068605,125-3,125-4,125-4,2.51751518,117.226097,
125,2,125-2,f0,1.4757911,125-5,125-6,125-6,9.21235847,1875.77332,
125,3,125-3,f1,2.25,125-7,125-8,125-8,0.0466003418,14.4043188,
125,4,125-4,f1,3.9333334,125-9,125-10,125-10,1.12212849,102.821777,
125,5,125-5,f0,0.495850354,125-11,125-12,125-12,3.9334681,1823.49573,
