tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
4,+11c,11,12,55,LightGBM,0.57837820411554,0.5852561407407003,0.5800542305823937,0.5785601963455862,0.5822917865162123,0.6101629104394966,0.5943916664196207,0.57837820411554,0.5894789220503112,0.5801774665484806
4,+12c,12,13,30,PySR (Symbolic Regression),0.6685964523892461,0.7076998600414962,0.6961002829191489,0.6902326330600336,0.7094862372871958,0.730237914262887,0.7043149961536519,0.6989636636052585,0.7038918984503012,0.6685964523892461
4,+13c,13,14,22,LightGBM,0.7197002115873093,0.8555873522709596,0.805005829459336,0.781986161052339,0.8968795687713551,0.8388670627300158,0.75605046474328,0.7197002115873093,0.75211638853677,0.8423868150218184
4,+14c,14,15,28,LightGBM,0.5626735909011528,0.6639661779025522,0.6288980120259985,0.6161244796544862,0.7267477616069342,0.6136589508732682,0.5873309814319901,0.5626735909011528,0.5868320066091118,0.7339655677430735
4,+15c,15,16,13,CatBoost,0.7191992358978992,0.8261701292872032,0.7870316756306818,0.7686102419299057,0.8719716557269345,0.7648609353337699,0.7210380152740972,0.7196483128923307,0.7191992358978992,0.7958242150993665
4,+16c,16,17,24,LightGBM,0.7701169372322717,0.9222422640440859,0.8476484782455715,0.8185599554487833,0.9401878519976915,0.8618631929769611,0.7784890503186522,0.7701169372322717,0.785565185197834,0.8697627618856177
4,+17c,17,18,17,PySR (Symbolic Regression),0.6247451906254976,0.6318907999002937,0.6317853864511667,0.6319605121949087,0.6256771867840437,0.6851020269277005,0.6490287663142854,0.6493115504259019,0.6520457620622124,0.6247451906254976
4,+18c,18,19,18,Standard Gaussian,0.5145619687080665,0.5145619687080665,0.5206859446598453,0.5248735999315675,0.5176217291443774,0.5148605592351835,0.5352848747451265,0.5374100165762301,0.5414376659039283,0.5161428677664168
4,+19c,19,20,6,Momentum-Adjusted Gaussian,0.24465092212243558,0.24605958031295747,0.2651236162566108,0.2780569965058098,0.24465092212243558,0.27391985867950197,0.3027838666121589,0.34396108018493016,0.28968294060686434,0.289747365228283
4,+20c,20,21,7,CatBoost,0.5481192209230483,0.6171682466712397,0.6049187655179548,0.599781470118302,0.6241676150016545,0.6597036875832746,0.5702844973181292,0.5596274208632929,0.5481192209230483,0.617859966333661
4,+21c,21,22,4,LightGBM,0.4808150026679334,0.4876360631620964,0.49779197080168747,0.504141530951608,0.48765526249154,0.5173185795585282,0.5071296554477587,0.4808150026679334,0.4953286485109325,0.5306939383554605
4,+22c,22,23,4,Machine Learning (Logistic Regression),0.33455420087703824,0.3899120634541566,0.40552358775206887,0.4152325850977485,0.3967473456106313,0.33455420087703824,0.40492388815282443,0.3900385834991242,0.36363039561716487,0.4323342410461685
4,+23c,23,24,7,LightGBM,0.5036531878111481,0.5215636865629858,0.5287279806355641,0.5332915161827608,0.5238916166281397,0.5351497366385085,0.5337370957962406,0.5036531878111481,0.5123044186065616,0.5481654718200896
4,+24c,24,25,1,Momentum-Adjusted Gaussian,0.2231435876357908,0.2484613959782817,0.2710852876913131,0.2851875831176965,0.2231435876357908,0.4132861387497789,0.40201269385533217,0.2899535507209946,0.36254556161964496,0.32627597301922945
4,+25c,25,26,7,PySR (Symbolic Regression),0.5247892449563303,0.5368482004760361,0.5434982544879833,0.5477254895769239,0.5299025667988664,0.6004297430564495,0.6577891492019852,0.6922932529145609,0.6505393228051123,0.5247892449563303
