Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
6,7,6-7,f0,-1.55477357,6-15,6-16,6-16,1808.0625,195214.5,
6,8,6-8,f0,-0.877896309,6-17,6-18,6-18,2411.79688,178169.453,
6,9,6-9,f0,-0.524400532,6-19,6-20,6-20,2888.46094,213252.734,
6,10,6-10,f0,-0.176374167,6-21,6-22,6-22,2469.11426,233214.516,
6,11,6-11,f0,0.125661343,6-23,6-24,6-24,3597.02832,268155.188,
6,12,6-12,f0,0.495850354,6-25,6-26,6-26,3997.42969,261528.031,
6,13,6-13,f0,0.9153651,6-27,6-28,6-28,1826.14062,160538.031,
6,14,6-14,f0,1.55477357,6-29,6-30,6-30,2305.3125,197536.891,
6,15,6-15,Leaf,,,,,-0.0506974123,107326.812,
6,16,6-16,Leaf,,,,,-0.0448901616,87887.6953,
6,17,6-17,Leaf,,,,,-0.0379055366,95483.3125,
6,18,6-18,Leaf,,,,,-0.0309047475,82686.1406,
6,19,6-19,Leaf,,,,,-0.0236317124,73353.0312,
6,20,6-20,Leaf,,,,,-0.0162813012,139899.703,
6,21,6-21,Leaf,,,,,-0.00976309367,100704.414,
6,22,6-22,Leaf,,,,,-0.00353115983,132510.109,
6,23,6-23,Leaf,,,,,0.00198361441,138991.703,
6,24,6-24,Leaf,,,,,0.00893741567,129163.484,
6,25,6-25,Leaf,,,,,0.0154458471,142216.438,
6,26,6-26,Leaf,,,,,0.0228927229,119311.594,
6,27,6-27,Leaf,,,,,0.0297099762,67271.1875,
6,28,6-28,Leaf,,,,,0.0361969955,93266.8438,
6,29,6-29,Leaf,,,,,0.0428552292,72867.5703,
6,30,6-30,Leaf,,,,,0.0495756269,124669.32,
7,0,7-0,f0,0.0501535833,7-1,7-2,7-2,1087722.25,1703028.75,
7,1,7-1,f0,-0.643345416,7-3,7-4,7-4,222625.375,888916.25,
7,2,7-2,f0,0.80642122,7-5,7-6,7-6,157029.188,814112.5,
7,3,7-3,f0,-1.03643334,7-7,7-8,7-8,20771.625,386801.688,
7,4,7-4,f0,-0.253347099,7-9,7-10,7-10,23443.4609,502114.562,
7,5,7-5,f0,0.385320455,7-11,7-12,7-12,20507.9453,484441.594,
7,6,7-6,f0,1.34075499,7-13,7-14,7-14,13612.8125,329670.906,
7,7,7-7,f0,-1.40507162,7-15,7-16,7-16,3463.3125,233718.25,
7,8,7-8,f0,-0.80642122,7-17,7-18,7-18,1563.57812,153083.422,
7,9,7-9,f0,-0.439913154,7-19,7-20,7-20,3087.00781,235893.906,
7,10,7-10,f0,-0.125661343,7-21,7-22,7-22,2354.26855,266220.656,
7,11,7-11,f0,0.201893479,7-23,7-24,7-24,3229.06641,270222.719,
7,12,7-12,f0,0.582841516,7-25,7-26,7-26,2443.07031,214218.891,
7,13,7-13,f0,1.08031929,7-27,7-28,7-28,1812.54688,163197.875,
7,14,7-14,f0,1.88079357,7-29,7-30,7-30,1305.0,166473.031,
7,15,7-15,Leaf,,,,,-0.0487625636,136308.125,
7,16,7-16,Leaf,,,,,-0.0413529798,97410.1328,
7,17,7-17,Leaf,,,,,-0.0342156254,83787.125,
7,18,7-18,Leaf,,,,,-0.0281223431,69296.2969,
7,19,7-19,Leaf,,,,,-0.0203939863,107765.961,
7,20,7-20,Leaf,,,,,-0.0135042015,128127.938,
7,21,7-21,Leaf,,,,,-0.007201951,103458.336,
7,22,7-22,Leaf,,,,,-0.00141419796,162762.328,
7,23,7-23,Leaf,,,,,0.00536909746,133415.078,
7,24,7-24,Leaf,,,,,0.0119285416,136807.641,
7,25,7-25,Leaf,,,,,0.0181875266,116633.398,
7,26,7-26,Leaf,,,,,0.0246211607,97585.4922,
7,27,7-27,Leaf,,,,,0.032148242,93797.1562,
7,28,7-28,Leaf,,,,,0.038545642,69400.7188,
7,29,7-29,Leaf,,,,,0.0446397588,90952.8516,
7,30,7-30,Leaf,,,,,0.0499800518,75520.1797,
8,0,8-0,f0,-0.0501535833,8-1,8-2,8-2,1027787.75,1698232.12,
8,1,8-1,f0,-0.706302583,8-3,8-4,8-4,165890.812,791231.125,
8,2,8-2,f0,0.706302583,8-5,8-6,8-6,191268.281,907001.062,
8,3,8-3,f0,-1.22652817,8-7,8-8,8-8,15339.75,355896.562,
8,4,8-4,f0,-0.33185336,8-9,8-10,8-10,16871.7656,435334.531,
8,5,8-5,f0,0.253347099,8-11,8-12,8-12,25058.0469,539749.75,
8,6,8-6,f0,1.22652817,8-13,8-14,8-14,19307.875,367251.25,
8,7,8-7,f0,-1.64485359,8-15,8-16,8-16,1312.6875,179527.344,
8,8,8-8,f0,-0.994457901,8-17,8-18,8-18,2301.35938,176369.219,
8,9,8-9,f0,-0.553384721,8-19,8-20,8-20,2942.4375,208175.625,
8,10,8-10,f0,-0.201893479,8-21,8-22,8-22,2166.36523,227158.906,
8,11,8-11,f0,0.075269863,8-23,8-24,8-24,3221.97363,269266.406,
8,12,8-12,f0,0.439913154,8-25,8-26,8-26,3698.9375,270483.375,
8,13,8-13,f0,0.877896309,8-27,8-28,8-28,2204.76562,172545.891,
8,14,8-14,f0,1.64485359,8-29,8-30,8-30,2201.46875,194705.375,
8,15,8-15,Leaf,,,,,-0.0489340872,89423.0781,
8,16,8-16,Leaf,,,,,-0.043798849,90104.2656,
8,17,8-17,Leaf,,,,,-0.0382773541,67023.4844,
8,18,8-18,Leaf,,,,,-0.0312153473,109345.734,
8,19,8-19,Leaf,,,,,-0.0236449353,72006.1328,
8,20,8-20,Leaf,,,,,-0.0161461383,136169.5,
8,21,8-21,Leaf,,,,,-0.010267145,98432.25,
8,22,8-22,Leaf,,,,,-0.00435490021,128726.664,
8,23,8-23,Leaf,,,,,0.000259109162,118790.836,
8,24,8-24,Leaf,,,,,0.00686830143,150475.562,
8,25,8-25,Leaf,,,,,0.0132925799,132211.344,
8,26,8-26,Leaf,,,,,0.0203110967,138272.031,
8,27,8-27,Leaf,,,,,0.0269531235,67419.5391,
8,28,8-28,Leaf,,,,,0.0339051224,105126.352,
8,29,8-29,Leaf,,,,,0.0414084457,86669.5156,
8,30,8-30,Leaf,,,,,0.0478303842,108035.859,
9,0,9-0,f0,-0.0250689089,9-1,9-2,9-2,970128.25,1692816.25,
9,1,9-1,f0,-0.706302583,9-3,9-4,9-4,169835.781,812574.938,
9,2,9-2,f0,0.738846838,9-5,9-6,9-6,172521.5,880241.375,
9,3,9-3,f0,-1.17498684,9-7,9-8,9-8,14762.5,353592.312,
9,4,9-4,f0,-0.33185336,9-9,9-10,9-10,18368.5703,458982.594,
9,5,9-5,f0,0.305480778,9-11,9-12,9-12,22455.625,528550.062,
9,6,9-6,f0,1.22652817,9-13,9-14,9-14,16572.0,351691.281,
9,7,9-7,f0,-1.47579098,9-15,9-16,9-16,1704.90625,190849.359,
9,8,9-8,f0,-0.95416528,9-17,9-18,9-18,1724.3125,162742.969,
9,9,9-9,f0,-0.553384721,9-19,9-20,9-20,2760.26562,207843.062,
9,10,9-10,f0,-0.201893479,9-21,9-22,9-22,2542.66895,251139.547,
9,11,9-11,f0,0.150969222,9-23,9-24,9-24,3613.37891,286804.344,
9,12,9-12,f0,0.553384721,9-25,9-26,9-26,2763.35938,241745.703,
9,13,9-13,f0,0.9153651,9-27,9-28,9-28,1603.67188,158748.688,
9,14,9-14,f0,1.75068605,9-29,9-30,9-30,2120.53125,192942.609,
9,15,9-15,Leaf,,,,,-0.047116667,119549.797,
9,16,9-16,Leaf,,,,,-0.0412515253,71299.5547,
9,17,9-17,Leaf,,,,,-0.0363079198,67234.6172,
9,18,9-18,Leaf,,,,,-0.0300344434,95508.3438,
9,19,9-19,Leaf,,,,,-0.0229522809,71891.8672,
9,20,9-20,Leaf,,,,,-0.0156835392,135951.188,
9,21,9-21,Leaf,,,,,-0.00989888981,98495.3359,
9,22,9-22,Leaf,,,,,-0.00371620036,152644.203,
9,23,9-23,Leaf,,,,,0.00236514374,162615.266,
9,24,9-24,Leaf,,,,,0.00916107278,124189.086,
9,25,9-25,Leaf,,,,,0.015353159,156516.484,
9,26,9-26,Leaf,,,,,0.0220669825,85229.2109,
9,27,9-27,Leaf,,,,,0.0273792464,66742.2734,
9,28,9-28,Leaf,,,,,0.0334895737,92006.4219,
9,29,9-29,Leaf,,,,,0.0410380214,102051.891,
