tte_bucket,probability_bucket,probability_bucket_start_cents,probability_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
11,0-5c,0,5,2,PySR (Symbolic Regression),0.01005033585350145,0.025330956827389506,0.054988648138638546,0.07497643138864804,0.03574800003625226,0.027570319467114954,0.02618024162923209,0.03557323670705497,0.0450185908618117,0.01005033585350145
11,5-10c,5,10,2,PySR (Symbolic Regression),0.05431364031189537,0.06193199416355634,0.09462769160863917,0.11519395587838507,0.07280198723965724,0.0566475105533515,0.05491546491795048,0.07268044403951311,0.05865937109940006,0.05431364031189537
11,10-15c,10,15,14,Student-T df=5,0.40898604351278905,0.4101163755210308,0.40898604351278905,0.410874712314316,0.4217014462569534,0.4107540734033489,0.43871482190252375,0.42046936425128045,0.4148121005889321,0.4100768408120929
11,15-20c,15,20,13,PySR (Symbolic Regression),0.6450984984632119,0.6870083098812878,0.6653322034933233,0.654828935881331,0.676247921571745,0.7122799703717043,0.6464276960033717,0.6562916705808247,0.6778454944169782,0.6450984984632119
11,20-25c,20,25,16,Machine Learning (Logistic Regression),0.49532976389663325,0.5001896981688216,0.5021922703889702,0.5043043134530213,0.507891825202467,0.49532976389663325,0.5196303521757987,0.5250877779964878,0.5154970166018886,0.51669933122457
11,25-30c,25,30,15,Momentum-Adjusted Gaussian,0.5111871970880012,0.518363078270514,0.5228076687992376,0.5259631316809876,0.5111871970880012,0.5163803036878443,0.5396879155812074,0.5559484035236854,0.5330880995963097,0.5420614055477835
11,30-35c,30,35,20,LightGBM,0.6259432823015715,0.6521690978534113,0.6508918859918225,0.6503300205758589,0.654509218700147,0.6568508364929124,0.6384014471314416,0.6259432823015715,0.6429466612915353,0.6504347202927862
11,35-40c,35,40,18,Momentum-Adjusted Gaussian,0.6431787680946021,0.6606773061892575,0.6607061116829179,0.6608214487507376,0.6431787680946021,0.673412456213431,0.6510935849135513,0.6592384050655801,0.6640677412962983,0.6624265051613661
11,40-45c,40,45,20,LightGBM,0.6562034453294061,0.6633937085739963,0.6642904926017753,0.6648812514604943,0.6596882120503843,0.6642447026392257,0.6671337261458514,0.6562034453294061,0.6670070840364065,0.6689164356025625
11,45-50c,45,50,19,LightGBM,0.6060650806941347,0.6471558186992638,0.6492907616839312,0.6506270489376418,0.6552481141763351,0.6435344872756614,0.6415170408429819,0.6060650806941347,0.6447555605199212,0.659933010629084
11,50-55c,50,55,31,Momentum-Adjusted Gaussian,0.6725497274742013,0.6785437184469971,0.6792151544961506,0.6796357236800962,0.6725497274742013,0.6795990279550814,0.6829313068972637,0.6792632004297481,0.683130442371373,0.6823678440973423
11,55-60c,55,60,24,PySR (Symbolic Regression),0.7001524367309284,0.7054686994565954,0.7043744336953958,0.7037187921223939,0.7076036529246866,0.7099707826291866,0.7106507880121221,0.7187335514350055,0.7126383517328541,0.7001524367309284
11,60-65c,60,65,21,CatBoost,0.5778697187137808,0.5914332610260171,0.5953833131286506,0.5979113056199067,0.5840385416802786,0.5866227339408502,0.5895297194889286,0.5996260075854374,0.5778697187137808,0.6131821465151566
11,65-70c,65,70,13,PySR (Symbolic Regression),0.7379976790600401,0.770771490593774,0.7632302423343593,0.7587748266353036,0.7828775025986103,0.7851753089931142,0.8122217337593356,0.8031454384223349,0.7972686992130599,0.7379976790600401
11,70-75c,70,75,14,PySR (Symbolic Regression),0.6879580455043869,0.7120945231932405,0.7056576222544512,0.7020667182306441,0.7048450018635336,0.7351674958130122,0.717994677325618,0.712040589136535,0.7135190367556181,0.6879580455043869
11,75-80c,75,80,11,Machine Learning (Logistic Regression),0.3532108970945104,0.3757544202393653,0.3892596680620872,0.39792586519419254,0.38602595285487773,0.3532108970945104,0.4011215527270542,0.41108082442776134,0.4014691708807901,0.4270581555950677
11,80-85c,80,85,15,XGBoost,0.4569946782192586,0.48679861154745974,0.48808582422947505,0.48997699916148196,0.4885227620531393,0.4913522444195254,0.4569946782192586,0.4656424927541552,0.48640280468467373,0.4915211154920792
11,85-90c,85,90,8,Student-T df=3,0.6071647071566593,0.6512529749577607,0.6206255351323853,0.6071647071566593,0.6736630003511666,0.6596520609012093,0.698494929409343,0.6711596603687214,0.6713358705346486,0.6195330712680138
11,90-95c,90,95,11,XGBoost,0.3132442271779341,0.33264579144610945,0.32490225042344484,0.3262418490119647,0.32669451712458614,0.3321714635863841,0.3132442271779341,0.32335374610094214,0.3190157379367928,0.35913585409663756
11,95-100c,95,100,1,PySR (Symbolic Regression),0.028060175130154782,0.05129330693589688,0.08388161340435107,0.10455486343081366,0.03045922023518676,0.05380957171804737,0.07467508314192227,0.07928477201083615,0.07368820438615402,0.028060175130154782
10,0-5c,0,5,1,PySR (Symbolic Regression),0.01005033585350145,0.040821993588932556,0.07278479440540088,0.09337813725187137,0.040821993588932556,0.04111039997739152,0.040122791551709155,0.04596668010595193,0.04342657181750083,0.01005033585350145
10,5-10c,5,10,5,CatBoost,0.055788551163504486,0.07689505869134285,0.10960880321997508,0.12997605866487946,0.0684308557875877,0.07092744993656194,0.06251188265475933,0.06694068239489392,0.055788551163504486,0.08881349343948487
10,10-15c,10,15,9,Momentum-Adjusted Gaussian,0.3234237674320822,0.33341357437215874,0.34241018128412803,0.34948568011768266,0.3234237674320822,0.3347512545201392,0.3360866900500027,0.3434501157431413,0.33137368248904664,0.3441869754944201
10,15-20c,15,20,12,PySR (Symbolic Regression),0.765040588677835,0.8412577382631558,0.8074149273088317,0.789759182509374,0.8405092201378356,0.8753569488867031,0.8879188063839308,0.8704461347623846,0.8475832001387316,0.765040588677835
10,20-25c,20,25,14,Machine Learning (Logistic Regression),0.40713920535129894,0.4205018119213788,0.4300757747479557,0.4364732745629402,0.4255948269208938,0.40713920535129894,0.43015182035780863,0.42855129952471505,0.4199076175078234,0.454788040303995
10,25-30c,25,30,11,Machine Learning (Logistic Regression),0.476071764551481,0.4859540364666822,0.4934408085079877,0.49834735705961636,0.49282971877978277,0.476071764551481,0.5169675241210602,0.49902588568008227,0.5141192786386279,0.5184633378701609
10,30-35c,30,35,15,Machine Learning (Logistic Regression),0.623159212003024,0.6271050500771728,0.6274918094217699,0.627936278732514,0.636025254726821,0.623159212003024,0.6365507210243984,0.6579207457015269,0.6300525676492597,0.6312123546377773
10,35-40c,35,40,21,Momentum-Adjusted Gaussian,0.6407418038297132,0.6507021330634903,0.6514219090518397,0.6519552706801581,0.6407418038297132,0.6567393082714186,0.648278442936064,0.6457740460960115,0.652255340726884,0.6555720236868968
10,40-45c,40,45,16,PySR (Symbolic Regression),0.6927469334710484,0.696537666377208,0.6957562209926642,0.6953034139625041,0.6984602471546778,0.6961969884861274,0.6971326682325951,0.7042508002290848,0.6977235028753865,0.6927469334710484
10,45-50c,45,50,18,Machine Learning (Logistic Regression),0.6786973015038881,0.682577550892304,0.6829642077681626,0.6832119224313927,0.6878189266725243,0.6786973015038881,0.6921012423025535,0.6925347087831099,0.688937833429743,0.6850179510676251
10,50-55c,50,55,24,LightGBM,0.6991363595561633,0.7103991050798918,0.7094920373539025,0.7089301519770013,0.7136674980224997,0.7145099733834641,0.7010567276480278,0.6991363595561633,0.702904300990871,0.705458425601646
10,55-60c,55,60,23,PySR (Symbolic Regression),0.691189561779975,0.6933775790607326,0.6928593325915429,0.6925640247122147,0.6912249170699283,0.6981931461768859,0.6960533848573157,0.6953553176874765,0.6957576664853176,0.691189561779975
10,60-65c,60,65,17,PySR (Symbolic Regression),0.720460469803121,0.7383895881747128,0.7345576694094632,0.732262681674487,0.7244354392049963,0.7571959093721842,0.7819640153669054,0.7901756901193139,0.7527152435070213,0.720460469803121
