tte_bucket,distance_bucket,distance_bucket_start_cents,distance_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
12,15-20c,15,20,57,XGBoost,0.6010060450011918,0.6017789415192141,0.6038905587450053,0.6053742514674495,0.6040414597686137,0.602342108299869,0.6010060450011918,0.6052147925059578,0.6029681947285445,0.6151590615809752
12,20-25c,20,25,37,Momentum-Adjusted Gaussian,0.5834063031955389,0.5883657424245728,0.5888318684252862,0.5895195779664033,0.5834063031955389,0.5875050083644671,0.589617939348531,0.6082863039423823,0.5980164441927749,0.5960690317434626
12,25-30c,25,30,24,PySR (Symbolic Regression),0.6100110174690891,0.6211128557991125,0.6152544627713148,0.6125775415268258,0.63194493749971,0.6306435015165937,0.610664594344032,0.6101703432492955,0.624453005287044,0.6100110174690891
12,30-35c,30,35,21,Student-T df=5,0.49185619799808966,0.4929692267622251,0.49185619799808966,0.49262243196846506,0.5024572508414208,0.4966058888007187,0.5062350357479343,0.5098612213459228,0.5011073251020647,0.4978671659467591
12,35-40c,35,40,19,XGBoost,0.3804537591296045,0.41997346530441265,0.42107841097412085,0.42368480494031574,0.42158294434472093,0.4235392190716872,0.3804537591296045,0.40182250318667345,0.40090724540052214,0.41781434454200833
12,40-45c,40,45,7,XGBoost,0.08465128035408154,0.0882519487854146,0.12044751726431968,0.14046604713757174,0.09467276477002362,0.08795106632639582,0.08465128035408154,0.09343538962448049,0.08967012684737038,0.10827005838492765
11,0-5c,0,5,20,Standard Gaussian,0.677338796710099,0.677338796710099,0.6780533326830553,0.6785015572706903,0.6804666930970675,0.6786911517424199,0.6917233325051492,0.692839873707147,0.696396810619053,0.6815270113065464
11,5-10c,5,10,56,PySR (Symbolic Regression),0.6925047858401862,0.6949876525388914,0.694408211363586,0.6940734999642969,0.6984668800794875,0.6984790295281285,0.696342382322574,0.7034231079330866,0.7008848274037306,0.6925047858401862
11,10-15c,10,15,45,CatBoost,0.670208316347889,0.6869181453383262,0.6858493934307467,0.685264249069122,0.6917240295657251,0.6882330845452953,0.6768465855021264,0.6707973304256861,0.670208316347889,0.6830698006642392
11,15-20c,15,20,45,Machine Learning (Logistic Regression),0.6009088158335592,0.6037290405377463,0.60560489428511,0.6069545056315557,0.6041397760449304,0.6009088158335592,0.6067188512313939,0.6172108222804003,0.6163498721634125,0.61581607312604
11,20-25c,20,25,31,XGBoost,0.577194259687588,0.577536190953301,0.5787006760732856,0.5798107754380608,0.5884168004896755,0.581133230569545,0.577194259687588,0.5852226729605994,0.5813856305015036,0.5878623349122635
11,25-30c,25,30,25,Momentum-Adjusted Gaussian,0.53866548020068,0.5479261121317777,0.5485925981155337,0.5496569192248466,0.53866548020068,0.5452615020823112,0.5409744911585114,0.5472937238212093,0.5466398986582373,0.5554696002719838
11,30-35c,30,35,21,PySR (Symbolic Regression),0.5533717263237504,0.565064483428677,0.5573437008311265,0.5543703010236884,0.5650889904021772,0.5690593160211906,0.5690940390726585,0.5680162482346509,0.5591264274976881,0.5533717263237504
11,35-40c,35,40,24,PySR (Symbolic Regression),0.5058466079321016,0.5251831278960418,0.5140369350478665,0.5101407921523645,0.5177717006568455,0.5270870862046191,0.5524771133466936,0.5374465845186025,0.5309892651805868,0.5058466079321016
11,40-45c,40,45,10,CatBoost,0.08218445763181241,0.08243024953013575,0.1148626782498817,0.13504949027003604,0.08685045378509737,0.08225340650476075,0.08396712563705183,0.09556696655883641,0.08218445763181241,0.09784461136252018
11,45-50c,45,50,2,PySR (Symbolic Regression),0.019055255491828117,0.03574799739533768,0.06632258753044176,0.08649364890293697,0.020254778044344106,0.040984377997516704,0.05295492307116069,0.05322825604944711,0.05848243272329798,0.019055255491828117
10,0-5c,0,5,34,LightGBM,0.6859855927670478,0.6972788543114469,0.6970219123973012,0.6968646529119032,0.6988079101585941,0.6975725199410469,0.6923527523169563,0.6859855927670478,0.6926604566425059,0.6958469235385387
10,5-10c,5,10,39,PySR (Symbolic Regression),0.7017218689085525,0.7075727503587349,0.7064057721099287,0.705703155468127,0.7112425353839198,0.7124916123968139,0.7084128014440191,0.7128301159123074,0.7094976518011163,0.7017218689085525
10,10-15c,10,15,28,XGBoost,0.6033572501317248,0.6178631437314923,0.6203425594339853,0.6219632881695457,0.6171927377697379,0.6113152649893621,0.6033572501317248,0.6034524203075923,0.6106201589529298,0.6323004948762962
10,15-20c,15,20,48,LightGBM,0.5323072669445502,0.5459624405437455,0.5513530087357871,0.5548486132242519,0.5419504941613917,0.5384361736666512,0.5419833793005695,0.5323072669445502,0.5452402271757082,0.57397685666316
10,20-25c,20,25,28,LightGBM,0.5555921981067671,0.5655300992234171,0.5676767349956446,0.5693651944116153,0.5663427714733175,0.5639115635793553,0.5757793087678201,0.5555921981067671,0.5701681379992601,0.5792744461745356
10,25-30c,25,30,20,XGBoost,0.5459254566967044,0.5641187795312355,0.5629876197003129,0.5630567231722401,0.5701579712910222,0.5669775622780955,0.5459254566967044,0.5683667590543849,0.5584101068692409,0.5668439346802513
10,30-35c,30,35,27,PySR (Symbolic Regression),0.5730811407513938,0.5900263337303197,0.5811678921588856,0.5773934491244557,0.6016250444983905,0.5984837731939413,0.5853459967475708,0.592563740726015,0.5875100040703397,0.5730811407513938
10,35-40c,35,40,17,Standard Gaussian,0.3607427140135621,0.3607427140135621,0.365905342568118,0.3710666652511679,0.3714675361712233,0.3640819764896435,0.3843617658735603,0.3798432349344546,0.38101992477285906,0.3712501530211948
10,40-45c,40,45,12,Momentum-Adjusted Gaussian,0.06561256342035626,0.07625203841759738,0.1088621033608293,0.1291996653578395,0.06561256342035626,0.07604328950949053,0.0903739627527162,0.09983542138371426,0.08313585073985226,0.08558004862576378
10,45-50c,45,50,1,PySR (Symbolic Regression),0.01005033585350145,0.040821993588932556,0.07278479440540088,0.09337813725187137,0.020202706861361452,0.042500111040765925,0.04013264896385477,0.0437293823375279,0.04165047470084351,0.01005033585350145
9,0-5c,0,5,30,LightGBM,0.7120045171553172,0.7209083121996801,0.7195041839828082,0.7186317212048614,0.7159747595057705,0.7232468214927645,0.7197281148833565,0.7120045171553172,0.717814418149975,0.7129941714569288
9,5-10c,5,10,40,LightGBM,0.6954501995760544,0.7001778072111211,0.6993280282912597,0.698825933251306,0.6978272236996024,0.7023562257213237,0.7048749786648019,0.6954501995760544,0.6986845748560919,0.6962272939935351
9,10-15c,10,15,31,CatBoost,0.6381681560841083,0.6541142788928745,0.6546757586647823,0.655107632873698,0.647109370007585,0.6518252951124129,0.653930312388891,0.6623588641110859,0.6381681560841083,0.658860284590279
9,15-20c,15,20,22,Momentum-Adjusted Gaussian,0.6165115456966886,0.6239497835196934,0.624434019941059,0.6249457461097456,0.6165115456966886,0.6228654560776149,0.6276338690238894,0.6370355809821894,0.6247906852038385,0.6297757087286188
9,20-25c,20,25,26,Machine Learning (Logistic Regression),0.5056948444599866,0.5144758117530741,0.5199425382211138,0.5236403195705773,0.5082685366044619,0.5056948444599866,0.528977561137819,0.5225803295593134,0.5227601827019821,0.5420279398906321
9,25-30c,25,30,33,CatBoost,0.5317039617806804,0.5408738823899669,0.5420275901329819,0.5433810186250603,0.5405819668787117,0.541938333588764,0.5367669148185101,0.5387833005612687,0.5317039617806804,0.5475024936844718
9,30-35c,30,35,35,CatBoost,0.4883513870962851,0.4904748623684181,0.49110964499462517,0.4926700944707281,0.4891093020451264,0.49380081299995493,0.4938567823431082,0.49625359335734465,0.4883513870962851,0.4945589662816964
9,35-40c,35,40,28,XGBoost,0.34256076967508514,0.3504045321410412,0.3562632635343266,0.36188398606913547,0.3578881917168548,0.34844268547038476,0.34256076967508514,0.35057634940943083,0.3461208539300081,0.3671819207594368
9,40-45c,40,45,24,CatBoost,0.17457284623105065,0.18888287261485906,0.2067902219920724,0.21974852522883936,0.18798595134909743,0.18636689383675728,0.17801654788829366,0.1751385238811892,0.17457284623105065,0.2006472070464481
9,45-50c,45,50,8,PySR (Symbolic Regression),0.019297027332225387,0.04091584250481078,0.07208143440750087,0.09238750042951546,0.038393845576757235,0.04587865928665068,0.05084567559115843,0.05665393902320243,0.0527948840934096,0.019297027332225387
8,0-5c,0,5,23,Machine Learning (Logistic Regression),0.6765019759614195,0.6783083094567214,0.6789553433946182,0.679362608321533,0.6791550947859708,0.6765019759614195,0.6893113449181592,0.6838580983569207,0.6807389411234911,0.6820988862427593
8,5-10c,5,10,24,Machine Learning (Logistic Regression),0.6325163448746062,0.6354452307585682,0.6378441636632997,0.639363458225658,0.6382393630651422,0.6325163448746062,0.6499459902245871,0.6697716272309698,0.6483912417362544,0.6492915993663246
8,10-15c,10,15,33,LightGBM,0.6585809650337361,0.6999547292535955,0.6980319106180009,0.6969281548176284,0.6972711782720752,0.7028845667565774,0.6814933125753369,0.6585809650337361,0.6869729625083362,0.6917476231368942
8,15-20c,15,20,31,LightGBM,0.5723140892625019,0.5805075522093023,0.5837108906207539,0.5858773503836199,0.5844731150650349,0.5784206264651929,0.5764220335299942,0.5723140892625019,0.5776927048980118,0.5984967639109434
8,20-25c,20,25,25,Machine Learning (Logistic Regression),0.5144417806608841,0.5190321241483294,0.5242178582843322,0.5277460975478394,0.5243972863957218,0.5144417806608841,0.5436876138763492,0.5325059678605526,0.5284165855124809,0.5449511877474776
