tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
13,+8c,8,9,1,CatBoost,0.6990058280815449,0.8209805574884342,0.8142963825658405,0.8101530067416653,0.8675005723169873,0.7934410160301328,0.7624588344330646,0.7943741405656979,0.6990058280815449,0.7844652479067544
13,+9c,9,10,1,Momentum-Adjusted Gaussian,0.7765287956538238,0.8209805574884342,0.8142963825658407,0.810153006741665,0.7765287956538238,0.8731747037777132,1.0812397372945113,0.9213616989163658,1.0751612905804884,0.7830929797464997
13,+11c,11,12,1,CatBoost,0.2906098661153606,0.41551540422523675,0.42854637055423533,0.43672664146963314,0.3856624429016782,0.44840079050154924,0.29699830685674494,0.46030114628187346,0.2906098661153606,0.4801733645450221
13,+12c,12,13,1,CatBoost,0.1667030325429357,0.21072102837221335,0.23583429295195407,0.25143409112378806,0.18632957585757665,0.2418381459295995,0.16730445551138803,0.2767350764017691,0.1667030325429357,0.2847005672742546
13,+21c,21,22,1,XGBoost,0.28970559004261814,0.3424903391688498,0.3594162209910989,0.370027305652402,0.31471077484614857,0.40234609992775144,0.28970559004261814,0.38889520131626243,0.7903041553530185,0.4168561427268115
12,-10c,-10,-9,1,PySR (Symbolic Regression),1.1837413679823172,1.3862943611198906,1.3281724032065132,1.2940341328604608,1.309333321639447,1.5406461212159503,2.0254955949813627,1.2198644864872021,1.6531724018538416,1.1837413679823172
12,-5c,-5,-4,2,CatBoost,0.7518758448461849,0.7827105089456281,0.776908195549798,0.7733681932219063,0.7918850787797986,0.7873359795745043,0.78123699073172,0.7709765858116594,0.7518758448461849,0.7546232166009539
12,-4c,-4,-3,1,Momentum-Adjusted Gaussian,0.3424903129344106,0.3710636848461737,0.3864153995463595,0.3960474374922193,0.3424903129344106,0.37827715656683925,0.3972303631268476,0.4136219546186978,0.43083663017477525,0.4432001828723672
12,-3c,-3,-2,5,Machine Learning (Logistic Regression),0.4145581549657546,0.4235045412015547,0.4364604035229441,0.44457136274873116,0.4184985503144736,0.4145581549657546,0.42346645758743123,0.4624800403683986,0.4545981609446047,0.4831799586359728
12,-2c,-2,-1,22,PySR (Symbolic Regression),0.6617064865299013,0.6660010342633069,0.6650343913861166,0.6646132216079538,0.6642016367304105,0.677032458844474,0.6769748398443748,0.6823359465797864,0.6621131350751279,0.6617064865299013
12,-1c,-1,0,39,CatBoost,0.645496051981194,0.6533964691311778,0.6513551514640912,0.6504342431366192,0.6647597948730228,0.6522457019368687,0.650903600655443,0.6455330917017198,0.645496051981194,0.6480781839051347
12,+0c,0,1,122,XGBoost,0.5790104786190121,0.584700907054562,0.5876166782459522,0.5896969608176931,0.584700907054562,0.5871102931060289,0.5790104786190121,0.5836817898374307,0.5821665776784218,0.5915989452608824
12,+1c,1,2,53,PySR (Symbolic Regression),0.6498562315938384,0.6526779450271931,0.6520032392439636,0.6518435586183164,0.6636592133002929,0.6516880122144428,0.6620426843404237,0.6644367974136358,0.6539769988626325,0.6498562315938384
12,+2c,2,3,12,Standard Gaussian,0.615399020344506,0.615399020344506,0.6179523733877094,0.6196441393751172,0.6164227162117778,0.6169917688200083,0.6295734733742656,0.634213287840987,0.6251821631030555,0.6232499017163388
12,+3c,3,4,7,Momentum-Adjusted Gaussian,0.38389936497487376,0.3902812316177854,0.405739006968399,0.4153735218000564,0.38389936497487376,0.3848229317354327,0.4005706953017879,0.40691761055042225,0.41403173539913507,0.4247728934676873
12,+4c,4,5,1,PySR (Symbolic Regression),1.0048492110763747,1.1394343055401068,1.1091536173542607,1.0908243860437872,1.078809683723672,1.2240331989990503,1.075378896621977,1.1269439389335585,1.0874605236571517,1.0048492110763747
12,+5c,5,6,1,PySR (Symbolic Regression),1.0521054755491874,1.2039727645895069,1.167305342252385,1.1452634796610934,1.2729656316415892,1.1726617255953613,1.2156486675360596,1.1736880439249995,1.26438252848562,1.0521054755491874
12,+7c,7,8,1,PySR (Symbolic Regression),0.8323730692136415,0.8915981280064146,0.8806680981333712,0.8739191287362021,0.8439700796510721,0.9477879833103553,1.0362404639454157,0.9373910539692627,0.9807022274063852,0.8323730692136415
11,-4c,-4,-3,3,LightGBM,0.7536228445032456,0.8125726143489883,0.8031114965840093,0.7974539075111373,0.7663039743793575,0.8709204170796144,0.796378244973836,0.7536228445032456,0.7711108644601233,0.768565875906361
11,-3c,-3,-2,5,Momentum-Adjusted Gaussian,0.6697189425739769,0.6996972268835576,0.6976042934708573,0.6964227333177369,0.6697189425739769,0.7368129703934491,0.7092979391353558,0.7121160037684602,0.6964993356486635,0.6836187093835623
11,-2c,-2,-1,15,Momentum-Adjusted Gaussian,0.6112358130890498,0.6169203594418741,0.6173197351649814,0.6179567743477699,0.6112358130890498,0.6145949019179535,0.6261679832878932,0.6383071795154687,0.6219683996656545,0.6132502715820115
11,-1c,-1,0,48,Machine Learning (Logistic Regression),0.609568281961426,0.6139551659191284,0.6148060923792474,0.6156710694319459,0.6166307144623019,0.609568281961426,0.6214624967030583,0.6196732495669347,0.6141303676038973,0.6175035511602509
11,+0c,0,1,128,XGBoost,0.5287962449380048,0.5338228905746514,0.5374601464237134,0.5402981843406873,0.5338228905746514,0.5338904746444522,0.5287962449380048,0.5314028931474479,0.532417157056406,0.5469329696120805
11,+1c,1,2,47,Machine Learning (Logistic Regression),0.5523317642478722,0.5565501735422298,0.5628881796791172,0.5668719440230879,0.5598960497622167,0.5523317642478722,0.5714416450826018,0.5813797842245787,0.5695016987981897,0.5764238749204353
11,+2c,2,3,14,LightGBM,0.6574786825864932,0.6704421000671834,0.6701952925473866,0.6701361777430933,0.6657351360837025,0.6747550222834057,0.6621430060430102,0.6574786825864932,0.6589772236463756,0.6638007931798997
11,+3c,3,4,7,LightGBM,0.5546824587755961,0.5687081915696346,0.5741242549865788,0.5775439518467437,0.5732388173169823,0.5637579958216247,0.5547064527640276,0.5546824587755961,0.5681237324261389,0.5870984190506994
11,+4c,4,5,2,Machine Learning (Logistic Regression),0.11087556940365981,0.12886749494136224,0.15893448364989443,0.17757774107006125,0.1519057234958289,0.11087556940365981,0.13363362881820232,0.12306484644691987,0.11833441651088579,0.17207142042651888
11,+6c,6,7,2,LightGBM,0.5954239850934757,0.6509766308861599,0.6519982524963255,0.6527087114443866,0.6915497601370818,0.6203083095905904,0.6050687887548172,0.5954239850934757,0.6117212089395232,0.6534354190827412
10,-16c,-16,-15,1,Momentum-Adjusted Gaussian,0.07257069716097901,0.09431068340121791,0.1265199174742769,0.14646199673827562,0.07257069716097901,0.11572344746417865,0.22103384046925803,0.1069517331869508,0.269808327474663,0.12280362983028824
10,-8c,-8,-7,1,Momentum-Adjusted Gaussian,0.040821993588932556,0.06187540229138055,0.09470556555737818,0.11532107786263669,0.040821993588932556,0.0710074536382543,0.1289338487924669,0.05929940740716199,0.12158213213316746,0.055667803413241075
10,-7c,-7,-6,4,Machine Learning (Logistic Regression),0.5436640033896853,0.6009640474247373,0.6047567480798888,0.607181551960991,0.6402363164072192,0.5436640033896853,0.5718520894062555,0.6328226057507879,0.5810769946339532,0.6045824765914481
10,-5c,-5,-4,2,Machine Learning (Logistic Regression),0.5772258877982247,0.6541114491903991,0.6559657186721894,0.6571238001513742,0.6933472574568038,0.5772258877982247,0.7266939899866571,0.7214544860945321,0.7444239811897113,0.6642491490146637
10,-4c,-4,-3,2,Machine Learning (Logistic Regression),0.5031940669690603,0.5350124146916775,0.5425857716934899,0.5473378926700241,0.541763323592858,0.5031940669690603,0.5719580765042624,0.5338604080641706,0.5545448568254709,0.5687614453551215
10,-3c,-3,-2,9,PySR (Symbolic Regression),0.7604417061235745,0.8226762570231811,0.8027377164400307,0.7918240323005329,0.855347715838451,0.8277856871782503,0.8535396296289579,0.8388233365927297,0.8365190878102402,0.7604417061235745
10,-2c,-2,-1,18,XGBoost,0.5743390834010351,0.5930072880872832,0.5965830971839591,0.5989330517596891,0.6030704436472477,0.5919311953440314,0.5743390834010351,0.579187451377193,0.5853479169780846,0.595369357085588
10,-1c,-1,0,45,Machine Learning (Logistic Regression),0.4951690468065086,0.5047947019280697,0.5098967717720769,0.5137544045261542,0.5008577510295035,0.4951690468065086,0.5135255829968429,0.5035251075775246,0.512510694948533,0.53071267772998
10,+0c,0,1,146,PySR (Symbolic Regression),0.5964804477620312,0.5979343899740515,0.5972205384095784,0.5975249604037516,0.5979343899740515,0.5975903209149832,0.5988908196172728,0.6009241468474675,0.5985026141624062,0.5964804477620312
10,+1c,1,2,42,XGBoost,0.5642031669086081,0.5686919675254299,0.5695277300500404,0.5707410714455248,0.5667391992601566,0.5690835779348519,0.5642031669086081,0.5656081027723473,0.5648165770490501,0.5718914329376189
10,+2c,2,3,12,Machine Learning (Logistic Regression),0.5738042574520865,0.5767360827227156,0.5797179445856436,0.5818432226154957,0.5854211212984765,0.5738042574520865,0.5837170832666881,0.5834549834894458,0.5745126341280665,0.5775004696150241
10,+3c,3,4,9,LightGBM,0.4475488137488594,0.47453358192651,0.48495459026649634,0.49148799656442244,0.48814681471654886,0.46457920228735244,0.48907086196398947,0.4475488137488594,0.47912969999798377,0.5240061792288129
10,+4c,4,5,4,Momentum-Adjusted Gaussian,0.48627199691909506,0.5047261728995533,0.5135400989855421,0.5190760787951276,0.48627199691909506,0.5019250872775225,0.5272909920301161,0.5242811654962738,0.5275237723509105,0.5477441589279133
10,+6c,6,7,1,Momentum-Adjusted Gaussian,0.7339691586268351,0.7765287713584524,0.7722955376558297,0.7696658091213869,0.7339691586268351,0.8012861222066539,0.8786197011070149,0.8636222796812173,0.8782792664240189,0.7518524648479565
