Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
78,30,78-30,Leaf,,,,,0.0124885179,19.420702,
79,0,79-0,f0,-0.524400532,79-1,79-2,79-2,336.167511,10830.2988,
79,1,79-1,f0,-1.40507162,79-3,79-4,79-4,92.8427734,2125.33521,
79,2,79-2,f0,0.738846838,79-5,79-6,79-6,196.387268,8704.96387,
79,3,79-3,f2,-0.0299999993,79-7,79-8,79-8,7.09588623,376.876953,
79,4,79-4,f0,-0.994457901,79-9,79-10,79-10,12.7146225,1748.45825,
79,5,79-5,f0,0.227544978,79-11,79-12,79-12,30.957922,7124.64648,
79,6,79-6,f0,1.55477357,79-13,79-14,79-14,61.6972656,1580.3175,
79,7,79-7,Leaf,,,,,0.00550710456,6.75656128,
79,8,79-8,f0,-1.55477357,79-15,79-16,79-16,5.93815613,370.120392,
79,9,79-9,f2,-0.0199999996,79-17,79-18,79-18,3.0386734,506.720184,
79,10,79-10,f2,-0.0299999993,79-19,79-20,79-20,3.55038834,1241.73816,
79,11,79-11,f0,-0.176374167,79-21,79-22,79-22,6.59417868,4863.82764,
79,12,79-12,f3,0.0599999987,79-23,79-24,79-24,6.14995575,2260.81885,
79,13,79-13,f0,1.22652817,79-25,79-26,79-26,5.75312805,1239.25818,
79,14,79-14,f0,2.05374885,79-27,79-28,79-28,7.12701416,341.059296,
79,15,79-15,Leaf,,,,,-0.0272281617,266.041565,
79,16,79-16,Leaf,,,,,-0.0183400903,104.078796,
79,17,79-17,Leaf,,,,,-0.00166677171,25.5194588,
79,18,79-18,Leaf,,,,,-0.0123601621,481.200714,
79,19,79-19,Leaf,,,,,0.00351711758,32.5175858,
79,20,79-20,Leaf,,,,,-0.00643991446,1209.22046,
79,21,79-21,Leaf,,,,,-0.00227841781,1909.42175,
79,22,79-22,Leaf,,,,,-1.67086855e-05,2954.40576,
79,23,79-23,Leaf,,,,,0.00356546836,2216.50659,
79,24,79-24,Leaf,,,,,-0.00761036295,44.3121986,
79,25,79-25,Leaf,,,,,0.0078192614,932.858398,
79,26,79-26,Leaf,,,,,0.0125878043,306.399811,
79,27,79-27,Leaf,,,,,0.0194806959,196.434998,
79,28,79-28,Leaf,,,,,0.0285943933,144.624313,
80,0,80-0,f0,-0.553384721,80-1,80-2,80-2,302.826843,10820.6504,
80,1,80-1,f0,-1.47579098,80-3,80-4,80-4,87.4364014,2010.0061,
80,2,80-2,f0,0.9153651,80-5,80-6,80-6,190.101379,8810.64453,
80,3,80-3,f1,9.83333302,80-7,80-8,80-8,9.08300781,316.21283,
80,4,80-4,f0,-1.08031929,80-9,80-10,80-10,13.9330902,1693.79333,
80,5,80-5,f0,0.305480778,80-11,80-12,80-12,35.0747147,7675.71973,
80,6,80-6,f0,1.88079357,80-13,80-14,80-14,40.1971436,1134.92456,
80,7,80-7,f0,-1.75068605,80-15,80-16,80-16,2.53904724,302.069061,
80,8,80-8,f1,10.5500002,80-17,80-18,80-18,6.27202845,14.1437511,
80,9,80-9,f2,-0.0299999993,80-19,80-20,80-20,5.96096802,426.546112,
80,10,80-10,f1,2.5666666,80-21,80-22,80-22,7.86519623,1267.24719,
80,11,80-11,f0,0.0501535833,80-23,80-24,80-24,7.93502522,5465.18311,
80,12,80-12,f3,0.189999998,80-25,80-26,80-26,8.30860138,2210.53711,
80,13,80-13,f2,0.0500000007,80-27,80-28,80-28,9.7122345,948.265747,
80,14,80-14,f3,0.0199999996,80-29,80-30,80-30,3.87205505,186.658844,
80,15,80-15,Leaf,,,,,-0.0285654142,178.185303,
80,16,80-16,Leaf,,,,,-0.0222219862,123.883774,
80,17,80-17,Leaf,,,,,0.0219782889,5.34332943,
80,18,80-18,Leaf,,,,,-0.016314093,8.80042171,
80,19,80-19,Leaf,,,,,0.00886332802,10.8306236,
80,20,80-20,Leaf,,,,,-0.0130415671,415.715485,
80,21,80-21,Leaf,,,,,-0.0143462876,97.5233612,
80,22,80-22,Leaf,,,,,-0.00549669936,1169.72388,
80,23,80-23,Leaf,,,,,-0.00136265205,3695.74121,
80,24,80-24,Leaf,,,,,0.00107986061,1769.44165,
80,25,80-25,Leaf,,,,,0.00400156714,2205.34473,
80,26,80-26,Leaf,,,,,-0.0308331903,5.19222164,
80,27,80-27,Leaf,,,,,0.0117268693,933.399536,
80,28,80-28,Leaf,,,,,-0.01211657,14.8662205,
80,29,80-29,Leaf,,,,,0.0276935827,175.097733,
80,30,80-30,Leaf,,,,,0.00879537687,11.5611115,
81,0,81-0,f0,-0.643345416,81-1,81-2,81-2,293.83017,10780.3975,
81,1,81-1,f0,-1.2815516,81-3,81-4,81-4,75.3014221,1690.59229,
81,2,81-2,f0,1.08031929,81-5,81-6,81-6,192.849182,9089.80566,
81,3,81-3,f1,8.73333359,81-7,81-8,81-8,13.0327301,472.509094,
81,4,81-4,f1,3.0666666,81-9,81-10,81-10,4.50578308,1218.08325,
81,5,81-5,f0,0.125661343,81-11,81-12,81-12,46.6607819,8274.51367,
81,6,81-6,f0,1.88079357,81-13,81-14,81-14,28.660614,815.292053,
81,7,81-7,f0,-1.55477357,81-15,81-16,81-16,6.98443604,423.167053,
